time,level,latitude,longitude,co_conc,no2_conc,o3_conc,pm10_conc,pm2p5_conc
8 days 15:00:00,0.0,48.75,2.45,162.45235,6.940214,65.15105,10.779327,6.957663
8 days 15:00:00,50.0,48.95,2.15,151.31969,3.5557833,70.24612,10.83572,5.9426026
8 days 15:00:00,50.0,48.95,2.25,155.93242,5.622496,65.87847,11.9662075,7.8184924
8 days 15:00:00,50.0,48.95,2.35,164.05318,8.026106,63.459896,11.074007,7.3241253
8 days 15:00:00,50.0,48.95,2.45,160.72453,7.638107,62.856995,11.174052,5.911183
8 days 15:00:00,50.0,48.85,2.15,145.15034,3.2130601,69.1159,10.515577,5.6179986
8 days 15:00:00,50.0,48.85,2.25,158.34814,6.0990715,64.37301,11.443674,5.646733
8 days 15:00:00,50.0,48.85,2.35,162.71736,7.616336,63.22443,10.792064,5.7752132
8 days 15:00:00,50.0,48.85,2.45,154.78668,7.323706,63.84386,10.852091,5.862695
8 days 15:00:00,50.0,48.75,2.15,145.07271,2.395673,69.57206,10.195436,5.6863527
8 days 15:00:00,50.0,48.75,2.25,149.82504,3.269065,69.1672,10.357326,5.6865234
8 days 15:00:00,50.0,48.75,2.35,155.679,5.007692,65.634514,10.486474,5.7452993
8 days 15:00:00,50.0,48.75,2.45,156.06122,4.580265,67.46856,10.517397,5.7481413
9 days 15:00:00,0.0,48.95,2.15,177.45447,13.386741,57.412163,18.503056,9.026272
9 days 15:00:00,0.0,48.95,2.25,186.56305,19.40373,53.99092,19.238766,10.485108
9 days 15:00:00,0.0,48.95,2.35,193.26103,22.619959,51.327866,20.247553,10.705064
9 days 15:00:00,0.0,48.95,2.45,200.5138,22.734612,50.742023,20.241442,10.559545
9 days 15:00:00,0.0,48.85,2.15,175.23781,14.826585,55.3001,16.165356,8.333244
9 days 15:00:00,0.0,48.85,2.25,182.58516,22.619959,52.24706,18.815681,9.730349
9 days 15:00:00,0.0,48.85,2.35,199.48106,32.33464,45.663006,19.395668,10.248875
9 days 15:00:00,0.0,48.85,2.45,205.48805,27.199804,44.784847,18.76833,9.141138
9 days 15:00:00,0.0,48.75,2.15,170.23103,12.784143,56.5052,15.581759,8.051329
9 days 15:00:00,0.0,48.75,2.25,178.6027,15.538178,53.72371,16.404993,9.031764
9 days 15:00:00,0.0,48.75,2.35,189.12624,22.150135,48.637386,16.851244,9.3478565
9 days 15:00:00,0.0,48.75,2.45,195.67755,22.277237,47.922142,17.367807,9.10677
9 days 15:00:00,50.0,48.95,2.15,168.92715,9.893699,60.346024,16.87761,7.6000595
9 days 15:00:00,50.0,48.95,2.25,174.22406,13.424144,57.989384,18.747047,8.0805855
9 days 15:00:00,50.0,48.95,2.35,178.63408,18.135042,56.67607,18.777147,8.160621
9 days 15:00:00,50.0,48.95,2.45,178.03519,17.975937,55.457348,18.551933,8.413155
9 days 15:00:00,50.0,48.85,2.15,160.29868,10.454785,60.674736,15.303616,7.1850104
9 days 15:00:00,50.0,48.85,2.25,171.89041,16.266918,56.80229,17.4572,7.1722775
9 days 15:00:00,50.0,48.85,2.35,183.36266,22.44781,54.853443,16.978764,7.3384376
9 days 15:00:00,50.0,48.85,2.45,178.29745,20.731365,52.277855,16.902393,7.26204
9 days 15:00:00,50.0,48.75,2.15,159.8687,7.519505,62.19192,14.227285,6.59796
9 days 15:00:00,50.0,48.75,2.25,165.26418,10.826343,60.33585,14.766019,6.973219
9 days 15:00:00,50.0,48.75,2.35,171.59505,13.889407,55.56902,15.217924,6.9867406
9 days 15:00:00,50.0,48.75,2.45,176.31941,15.4227085,55.839493,15.689468,6.9230757
10 days 15:00:00,0.0,48.95,2.15,185.44547,10.928511,61.182537,9.251488,4.4585137
10 days 15:00:00,0.0,48.95,2.25,185.91704,16.192837,58.174324,9.723346,4.7119927
10 days 15:00:00,0.0,48.95,2.35,193.198,20.972075,54.582687,9.50808,4.6958065
